_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4953194491024509,NmjPz4iwl,0,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,0,0,微博 weibo.com,6369501744,https://m.weibo.cn/detail/4953194491024509
4953194489974963,NmjPyFQWv,0,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,0,0,微博 weibo.com,5876448064,https://m.weibo.cn/detail/4953194489974963
4953194489711848,NmjPyEKuI,0,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,0,0,微博 weibo.com,5710586189,https://m.weibo.cn/detail/4953194489711848
4953190237474911,NmjIHvmz5,0,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,0,0,HUAWEI P40 5G,6083245339,https://m.weibo.cn/detail/4953190237474911
4953190065769512,NmjIqocUE,8,【#日本计划明起第二轮核污染水排海#】#第二轮核污染水排海预计持续17天#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约78 ...全文,2023-10-04,13,2,微博网页版,1496814565,https://m.weibo.cn/detail/4953190065769512
4953184797460057,NmjzVviHv,2,#福岛核电站将于10月5日上午开始第二轮核污染水排放# 日本福岛第一核电站将于10月5日上午开始第二轮核污染水排放#日本开始准备核污染水第二轮排海# 蚌埠日报的微博视频 ,2023-10-04,8,1,微博视频号,3380541084,https://m.weibo.cn/detail/4953184797460057
4953183613882236,Nmjy1ghWI,0,【#日本明天上午开始第二轮核污染水排海#】#日本于5日上午开始第二轮核污染水排海#据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划 ...全文,2023-10-04,1,2,iPhone 15 Pro,1750349192,https://m.weibo.cn/detail/4953183613882236
4953180256080367,NmjsBpvMr,0,【#日本第二轮核污水排海5日上午开始#】#日本明日上午开始第二轮核污染水排海# 据日本TBS电视台网站4日报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800 ...全文,2023-10-04,5,1,微博网页版,1652484947,https://m.weibo.cn/detail/4953180256080367
4953180128940963,NmjsoBvX5,2,【#日本第二轮核污染水排海5日上午开始#，预计持续17天】据日本TBS电视台网站4日报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮 ...全文,2023-10-04,6,3,微博网页版,1708763410,https://m.weibo.cn/detail/4953180128940963
4953179647905162,NmjrCxauC,2,【#日本明天上午开始第二轮核污染水排海#】据日本TBS电视台网站今天（4日）报道，东京电力公司计划于当地时间5日上午10点半（北京时间5日上午9点半）开始进行福岛第一核电站核污染水第二轮排海。据称，东电已经在本月3日之前进行了排海准备工作。第二轮排海计划排出大约7800吨核污染水，与第一轮排放量 ...全文,2023-10-04,4,6,HUAWEI Mate 30 Pro,5897816720,https://m.weibo.cn/detail/4953179647905162
