_id,bid,comment_num,content,created_at,like_num,repost_num,tool,user_id,weibo_url
4953527540255449,NmsuK14s9,2,日本今日启动第二轮核污染水排海工作（央视）#日本开始第二轮核污染水排海# 中国反邪教的微博视频 ,2023-10-05,3,0,iPhone 14 Pro(暗紫色),5995522771,https://m.weibo.cn/detail/4953527540255449
4953527418355748,Nmsuxz3I8,1,#日本将启动第二轮核污染水排海#  我现在深度怀疑小日子是不是在借排海机会在海底进行核试验了！ ,2023-10-05,2,0,iQOO 9 未来电竞旗舰,5584268500,https://m.weibo.cn/detail/4953527418355748
4953524775685165,NmsqhnQYd,0,#日本将启动第二轮核污染水排海# 保护海洋！保护海洋生物！摩登兄弟刘宇宁《海》海 @QQ音乐 ,2023-10-05,0,0,QQ音乐,7265263739,https://m.weibo.cn/detail/4953524775685165
4953523730778997,NmsoB3gEt,0,#日本将启动第二轮核污染水排海#小日本子自我毁灭吧！ ,2023-10-05,1,0,三星Galaxy S9+,7265263739,https://m.weibo.cn/detail/4953523730778997
4953522006133892,NmslOpJHK,0,【凤凰连麦|日本今早启动福岛核污染水第二轮排海】@凤凰李淼 #日本开始准备核污染水第二轮排海##日本将启动第二轮核污染水排海#   日本今早启动福岛核污染水第二轮排海，目前掌握到那些最新消息？日本各界对此反应如何？连线本台驻日本记者李淼。 凤凰名人馆的微博视频 ,2023-10-05,2,0,微博视频号,5654254535,https://m.weibo.cn/detail/4953522006133892
4953516478564028,NmscTzVTu,0,10月5日，据共同社报道，日本东京电力公司3日启动了福岛第一核电站核污染水第二轮排海前准备工作。今天上午，日方正式开始第二轮含氚水的核污染水排海。  与首次排海一样，新一轮核污染水的排放将持续17天，在此期间，大约7800吨弱放射性水将流入海洋。……#日本东京电力公司公布第一批核污染水排放计 ...全文,2023-10-05,0,0,微博视频号,1654434200,https://m.weibo.cn/detail/4953516478564028
4953515123803900,NmsaIfXze,0,【#今天第二轮核污染水开始排海#】#第二轮核污染水排海预计排放17天7800吨#东京电力公司宣布，福岛第一核电站核污染水第二次排海工作计划将于今日（5日）启动。据东电公司称，测定即将排入海洋的核污染水中所含氚以外放射性物质未超过国家规定的标准值。氚为每升14万贝克勒尔，排放前将用大量海水稀释 ...全文,2023-10-05,0,0,iPhone客户端,1981819331,https://m.weibo.cn/detail/4953515123803900
4953514104324186,Nms94i8UW,0,【#日本开始第二轮核污染水排海#】东京电力公司宣布，福岛第一核电站核污染水第二次排海工作计划将于今日（5日）启动。据东电公司称，测定即将排入海洋的核污染水中所含氚以外放射性物质未超过国家规定的标准值。氚为每升14万贝克勒尔，排放前将用大量海水稀释，随后通过海底隧道，从约1公里外的海域排 ...全文,2023-10-05,3,0,微博视频号,2710752507,https://m.weibo.cn/detail/4953514104324186
4953505280296106,NmrUQ1f1U,1,福州，一个对于江西人来说是美食荒漠的城市#旅游##带着微博去旅行#  但是海边我超爱，可恶的小日子#日本将启动第二轮核污染水排海# 福州·福州站 ,2023-10-05,3,0,iPhone客户端,6572667661,https://m.weibo.cn/detail/4953505280296106
4953495406644024,NmrEUrSpG,0,#日本将启动第二轮核污染水排海##日本海啸# 老天爷都看不下去了，小日子看你还排不排，再排就来个20米的海啸 ,2023-10-05,3,0,Android,1638551874,https://m.weibo.cn/detail/4953495406644024
4953494882878661,NmrE4c4S1,0,#日本或于明日启动第二轮核污染水排海#为什么没人知道没人关注？ ,2023-10-05,1,0,OPPO A93s 5G,5520154230,https://m.weibo.cn/detail/4953494882878661
4953494819180888,NmrDXCwmQ,0,#日本今日启动核污水第二轮排海#这都不上热搜吗？？？？？？？#日本启动核污水排海你有何感受##日本将启动第二轮核污染水排海# ,2023-10-05,1,0,iPhone客户端,7488211480,https://m.weibo.cn/detail/4953494819180888
4953494269986446,NmrD4FTVI,2,#日本观测到浪高1米左右海啸#是不是没吃饭啊一米够干嘛的#日本或于明日启动第二轮核污染水排海# 小日本子都这么对大海了 ,2023-10-05,10,0,Android,5670342920,https://m.weibo.cn/detail/4953494269986446
4953493456557003,NmrBLrvM7,2,【韩政府：正关注分析日本第二轮核污排海数据 】 #韩国时局# #福岛排污# 韩国政府5日就日本福岛第一核电站启动核污染水第二轮排海表示，政府将全力做好安全性检查及监测工作，以确保国民健康安全不受影响。网页链接 ,2023-10-05,2,0,分享按钮,3738708562,https://m.weibo.cn/detail/4953493456557003
4953493096369629,NmrBbqJ1X,0,#日本海啸# 信女愿吃素一月🙏🙏#日本或于明日启动第二轮核污染水排海# 只愿小日本子罪有应得🙏 ,2023-10-05,4,0,Android,5670342920,https://m.weibo.cn/detail/4953493096369629
4953492080562000,Nmrzy2mcw,0,#日本发生6.6级地震并引发海啸# 今天，日本开始了第二轮核污水排放，对于这个国家，不要报任何善意，富士山开花吧#日本将启动第二轮核污染水排海# ,2023-10-05,42,1,iPhone客户端,5761752784,https://m.weibo.cn/detail/4953492080562000
4953476826664627,NmraWrXLZ,0,#日本开始第二轮核污染水排海#cnm@日本国驻华大使馆 #日本国驻华大使馆##日本将启动第二轮核污染水排海# ,2023-10-05,1,0,iPhone客户端,1691841077,https://m.weibo.cn/detail/4953476826664627
